ID,Title,Keywords1,Keywords2,Abstract,Year
110,"A posthumanist orientation and cross-national, online bilingual digital storytelling",assemblage; bilingual education; biliteracy; diffractive methodology; posthumanism,INTRA-ACTIVITY; LANGUAGE; MULTIMODALITY; ADOLESCENTS; PEDAGOGIES; LITERACY; CHILDREN; IDENTITY; TEXTS,"This cross-national, online biliteracy project connected 13 Canadian and Chinese bi/multilingual learners aged 11-15 years. The research was informed by posthuman conceptualizations of literacy, biliteracy, modes, and media, and disrupted binary thinking about mind/body, first language (L1) / second language (L2), and language/materiality in literacy education. A diffractive methodology facilitated exploration of how the dynamic relationship-building between humans and nonhuman entities shaped the bi/multilingual learners' digital storytelling. The project intended to enable a generative assemblage that positioned languages, media, and places as interconnected, agentive repertoires. It supported bi/multilingual learners' connection-making with various semiotic resources and their situated lifeworlds and opened opportunities for them to create new forms of meaning. Findings also show that the generative assemblage was affectively rewarding and enabled bi/multilingual learners to be fully engaged in their digital story creation and eager to try more. The article proposes a biliteracy orientation that nurtures ethical meaning-making across languages, modes, and media.",2023
111,Digital multimodal composing in English language teaching,technology; L2 writing; multimodal composition; pedagogy,,"In this series, we explore technology-related themes and topics. The series aims to discuss and demystify what may be new areas for some readers and to consider their relevance for English language teachers.",2023
112,Advancing CALL research via data-mining techniques: Unearthing hidden groups of learners in a corpus-based L2 vocabulary learning experiment,corpus use; data-driven learning (DDL); data-mining approach; glossary; person-centred analysis; approach; second-language vocabulary learning,MODEL; GLOSSES; COMPREHENSION; MEMORY,"In this study, we used a data-mining approach to identify hidden groups in a corpus-based second-language (L2) vocabulary experiment. After a vocabulary pre-test, a total of 132 participants performed three online reading tasks (in random orders) equipped with the following glossary types: (1) concordance lines and definitions of target lexical items, (2) concordance lines of target lexical items, and (3) no glossary information. Although the results of a previous study based on variable-centred analysis (i.e. multiple regression analysis) revealed that more glossary information could lead to better learning outcomes (Lee, Warschauer & Lee, 2017), using a model-based clustering technique in the present study allowed us to unearth learner types not identified in the previous analysis. Instead of the performance pattern found in the previous study (more glossary led to higher gains), we identified one learner group who exhibited their ability to make successful use of concordance lines (and thus are optimized for data-driven learning, or DDL; Johns, 1991), and another group who showed limited L2 vocabulary learning when exposed to concordance lines only. Further, our results revealed that L2 proficiency intersects with vocabulary gains of different learner types in complex ways. Therefore, using this technique in computer-assisted language learning (CALL) research to understand differential effects of accommodations can help us better identify hidden learner types and provide personalized CALL instruction.",2019
113,Digital Language Learning: A Sociocultural Theory Perspective,,FEEDBACK; LEARNERS,"The article reviews Digital Language Learning (DLL) research that has used principles and concepts of Sociocultural Theory (SCT) to support the research. We explain several key principles of the theory and shows how they have been misused or used in a superficial way in the DLL research. These include the assumption that SCT is a social rather than a psychological theory as well as misinterpretation of the central concepts of imitation and the Zone of Proximal Development. The article argues that the assumption that Virtual Reality pedagogy-which claims it is a means to avoid a parasitic relationship between L1 and L2-is problematic and not supported by an SCT perspective because the theory assigns a central role to L1 in all aspects of psychological development. It also argues that DLL pedagogy that seeks to avoid explicit instruction in favor of implicit learning through comprehensible input may well hinder full development of a new language. Finally, the article suggests ways in which DLL and SCT-based language pedagogy can be integrated into a coherent instructional program.",2023
114,EFL adolescent learners' perceptions of digital multimodal composing tasks and task outcomes: A longitudinal study,English as a foreign language; learner perception; longitudinal study; multimodal composing task; second language writing,ENGLISH; VIDEO; MULTILITERACIES; CHALLENGES; CLASSROOMS; LITERACY; PEDAGOGY; THINKING; DESIGN; TEXTS,"Although the value of digital multimodal composing (DMC) in language learning is being increasingly recognized, longitudinal studies focusing on second language (L2) students' DMC practices are scarce. To fill the gap, this multi-case study aimed to explore English as a foreign language adolescent learners' evolving perceptions of the role of DMC tasks in English learning and the relationship between the quality of DMC task outcomes and learners' perceptions over 7 months. Eight DMC tasks were implemented in an English composition class, and perceptions and task outcomes of three focal participants were tracked over time. Data were collected from multiple sources, such as a learner background questionnaire, a digital literacy questionnaire, semi-structured interviews, reflection surveys, and the scores of students' DMC tasks. Findings indicate that although all three participants acknowledged a beneficial role of DMC practices, each participant's perception exhibited different patterns over time: two kept the similar perceptions (negative and positive for each) and one showed a change in her perceptions (negative to positive). Results suggest that this difference could be attributed to various factors, including perceived level of digital literacy, the ongoing learning experience with DMC tasks, and understanding of multimodality. Regarding the relationship between the quality of DMC outcomes and students' perceptions, although all three learners tended to perform better on their tasks over time, participants' attitudes seemed to mediate the quality of DMC products. Pedagogical implications of the study are discussed in light of important considerations when implementing DMC tasks in L2 classrooms.",2023
115,Online Media Creation and L2 Motivation: A Socially Situated Perspective,,TECHNOLOGY; BLOGS,"Digital technologies are increasingly common in language learning. Online media creation provides scope for agency and spaces for identity construction, but empirically grounded conceptualizations of the influences on learners' motivation are lacking and the digital technology-second language motivation interface remains largely unexplored. Using a grounded theory ethnographic approach (Charmaz, 2006), and with the aim of developing a theoretical account of the emergence of motivation in online media creation, this study investigated a blog project in an English language classroom in Sweden. Engaging with multiple data sources, and using Ito and colleagues' (2010) theory of participation in media practices as an analytical framework, motivation is conceptualized as stemming from the desire to create a visually appealing and authentic artefact, from a perception of audience, and through the documentation of identities. Variations in motivational intensity between student groups could be traced to varying investments in digital media practices. Primarily, differences were between validation-seeking that was locally oriented and validation-seeking conditioned through actions within a genre of practice. These conceptualizations are of importance for English language teaching. In language-developing activities that involve online media creation, motivation can be enhanced when space for genre exploration is provided.",2019
116,Assessing collaborative writing in the digital age: An exploratory study,Collaborative writing; Formative assessment; Computer -mediated communication; Collaboration pattern; Corpus analysis; Quasi -experimental,GRAMMATICAL COMPLEXITY; TASK COMPLEXITY; ACCURACY; LANGUAGE; FLUENCY; PAIR; WIKI; DYNAMICS; PATTERNS; STUDENTS,"Driven by the digital revolution and the recognized importance of learner collaboration in lan-guage learning, computer-mediated collaborative writing (CW) has been widely implemented in diverse classrooms. Despite the fast-growing interest in CW, little research has considered assessment practices in computer-mediated CW. To fill this gap, this study examines the effects of assessment approaches (product-based vs. process-and-product based) on learners' performance and collaboration dynamics in web-based CW. Eighty-two intermediate tertiary-level learners formed a control and an experimental group. The control group (n = 20 pairs) was introduced to the traditional product-based assessment prior to completing a synchronous CW task, whereas the experimental group (n = 21 pairs) was presented an assessment approach addressing both the collaboration process and product. Drawing upon analyses of dyads' interaction, revision pro-cesses, and the co-constructed texts, the study found that the experimental group produced texts of enhanced fluency, writing quality, and phrasal complexity. Also, they displayed strikingly more collaboration during the task. The study not only provides a practical approach for L2 teachers to assess collaborative writing in the digital age, but also provides findings that underscore the value of the process-and-product based assessment for remedying challenges presented in web-based CW.",2022
117,Investigation of Native Speaker and Second Language Learner Intuition of Collocation Frequency,collocation frequency; intuition; corpus; native speakers; L2 learners; Italian,WORD-FREQUENCY; EYE-TRACKING; AGREEMENT; USAGE,"Research into frequency intuition has focused primarily on native (L1) and, to a lesser degree, nonnative (L2) speaker intuitions about single word frequency. What remains a largely unexplored area is L1 and L2 intuitions about collocation (i.e., phrasal) frequency. To bridge this gap, the present study aimed to answer the following question: How do L2 learners and native speakers compare against each other and corpora in their subjective judgments of collocation frequency? Native speakers and learners of Italian were asked to judge 80 noun-adjective pairings as one of the following: high frequency, medium frequency, low frequency, very low frequency. Both L1 and L2 intuitions of high frequency collocations correlated strongly with corpus frequency. Neither of the two groups of participants exhibited accurate intuitions of medium and low frequency collocations. With regard to very low frequency pairings, L1 but not L2 intuitions were found to correlate with corpora for the majority of the items. Further, mixed-effects modeling revealed that L2 learners were comparable to native speakers in their judgments of the four frequency bands, although some differences did emerge. Taken together, the study provides new insights into the nature of L1 and L2 intuitions about phrasal frequency.",2015
118,Comparing monomodal traditional writing and digital multimodal composing in EAP classrooms: Linguistic performance and writing development,,ENGLISH; LITERACIES; LEARNERS; SELF,"In response to mixed perceptions about the digital multimodal composing (DMC) approach to conceptualizing and teaching second language (L2) writing, the purpose of the current study is to compare students' linguistic performance on traditional monomodal writing and DMC tasks, as well as writing development over time under traditional and DMC instructional conditions. A total of 41 Korean university English as a foreign language (EFL) students were randomly assigned to two instructional groups: traditional writing and DMC. Over one semester, both the DMC and the traditional writing groups completed TOEFL-style independent writing pretests and posttests, and depending on their intervention condition, they completed either monomodal writing or DMC tasks for two elemental genres (causal analysis and argumentation). For the first research question, focused on output of traditional writing and DMC tasks, the two groups' language use on each of the two assigned genres (causal analysis and argumentation) was analyzed separately, and their linguistic performance was compared using independent t-tests. For the second research question, the pretest and posttest essays were scored using an analytic rubric focused on content, organization and language, and the two groups' timed writing performance was compared using linear mixed effect models. The findings indicated that students produced longer texts for DMC tasks, and that there were significant gains in writing development over time for both DMC and traditional writing instructed groups. The DMC-integrated group, however, showed greater gains. Pedagogical implications for the use of DMC in L2 writing instruction are discussed.",2023
119,New Insights in the Design and Compilation of Digital Bilingual Lexicographical Products: The Case of the Diccionarios Valladolid-UVa,DICTIONARY CONCEPT; EMPIRICAL RESOURCES; LOGFILES; NGRAM VIEWER; INTERNET AS A CORPUS; COMPILATION METHODS; LEXICOGRAPHICAL DATA; ONLINE DICTIONARIES; INTEGRATED DICTIONARIES; WRITING ASSISTANTS; L2-RECEPTION DICTIONARIES; L2-PRODUCTION DICTIONARIES; TRANSLATION DICTIONARIES,CORPUS; DICTIONARIES,"This contribution deals with a new digital English-Spanish-English lexicographical project that started as an assignment from the Danish high-tech company Ordbogen A/S which signed a contract with the University of Valladolid (Spain) for designing and compiling a digital lexicographical product that is economically and commercially feasible and can be used for various purposes in connection with its expansion into new markets and the launching of new tools and services which make use of lexicographical data. The article presents the philosophy underpinning the project, highlights some of the innovations introduced, e.g. the use of logfiles for compiling the initial lemma list and the order of compilation, and illustrates a compilation methodology which starts by assuming the relevance of new concepts, i.e. object and auxiliary languages instead of target and source languages. The contribution also defends the premise that the future of e-lexicography basically rests on a close cooperation between research centers and high-tech companies which assures the adequate use of disruptive technologies and innovations.",2018
120,Digital affordances on WeChat: learning Chinese as a second language,Affordance; Chinese as a second language; study abroad; WeChat; social networking sites,SOCIAL NETWORKING; IDENTITY; SOCIALIZATION; COMMUNITIES; CLASSROOM,"Different from the traditional term language input, affordance, an ecological term, has been deployed to analyze the perceived opportunities for second language (L2) learning an environment provides to L2 learners. L2 learning occurs only when the semiotic resources in the environment resonate with the learner's capacities such as their abilities, aptitudes, and attitudes. Adopting affordance as a theoretical and analytic construct, this study investigates using qualitative research methods what language development affordances WeChat, one of the most popular Social Networking Systems in Chinese-speaking communities, provided to two university-level Chinese language learners while they were studying abroad in an intensive language program in Shanghai. Four affordances were identified. The results also show that each affordance was manifested differently with each language learner due to unique communication norms on WeChat, each language learner's Chinese language proficiency, and their personal preference in WeChat communication. Pedagogical implications are also provided to guide educators and L2 users as to how to take advantage of WeChat for language learning.",2018
121,On the relationship between perception and production of L2 sounds: Evidence from Anglophones' processing of the French /u/-/y/ contrast,second language acquisition; speech perception; speech production; vowels,AMERICAN-ENGLISH LEARNERS; CONSONANTAL CONTEXT; LANGUAGE EXPERIENCE; NATIVE SPEAKERS; PRODUCTION LINK; 2ND-LANGUAGE; VOWELS; SPANISH; ASSIMILATION; ACQUISITION,"Previous studies have yielded contradictory results on the relationship between perception and production in second language (L2) phonological processing. We re-examine the relationship between the two modalities both within and across processing levels, addressing several issues regarding methodology and statistical analyses. We focus on the perception and production of the French contrast /u/-/y/ by proficient English-speaking late learners of French. In an experiment with a prelexical perception task (ABX discrimination) and both a prelexical and a lexical production task (pseudoword reading and picture naming), we observe a robust link between perception and production within but not across levels. Moreover, using a clustering analysis we provide evidence that good perception is a prerequisite for good production.",2022
122,FOSTERING COMPUTER-MEDIATED L2 INTERACTION BEYOND THE CLASSROOM,,,"In language learning contexts a primary concern is how to maximise target language interaction both inside and outside of the classroom. With the development of digital technologies, the proliferation of language learning applications, and an increased awareness of how technology can assist in language education, educators are being presented with new opportunities to engage learners in innovative ways. This article reports on how technology was used to deal with the issue of an identified lack of English language interactional opportunities outside of the classroom at the author's university in Japan. An Action Research (AR) project was initiated with a Computer-Mediated Communication (CMC) programme being implemented during an eight-week summer vacation period, in order to provide a platform for students to interact in the target language outside of class. The article reports on the action research methodology undertaken and the results of the CMC programme interactions. It shows that a CMC programme can offer students a convenient and useful platform on which to continue to communicate in the target language while outside of their classes, but that the construction of the platform needs input from both teachers and students.",2012
123,Social media literacy in L2 environments: navigating anonymous user-generated content,social media literacy; sociocultural pragmatics; anonymity; digital wilds,FACE-TO-FACE; ONLINE; LANGUAGE; STUDENTS; ENGLISH; SOCIALIZATION; TECHNOLOGIES; COMMUNITIES; INFORMATION; BENEFITS,"Online participatory cultures (e.g. social media) present a number of opportunities and challenges for language learners. Learners can collaborate with like-minded peers in online affinity spaces or get crowd-sourced information from the locals of a target culture, but they also run the risk of getting lost in the overwhelming amount of noise and disruption in these 'wild' environments. This proliferation of user-generated content requires new forms of information literacy, so that everyone has equal access and ability to participate in modern social environments. English language learners (ELLs) may require extra training in using English-based social media effectively, but to date little research has examined this area. This study investigated the characteristics and trends of ELLs' use of social media, how language abilities and previous social media experience affect ELLs' perceptions of anonymous user-generated content in an online discussion website (Reddit), and the strategies learners use to overcome the challenges they encounter in these online environments. The results indicate the importance of adding a sociocultural pragmatics component into the framework of social media literacy and were used to inform recommendations for future social media training programs.",2022
124,"Acting with Lexicon and Lexicographical Resources: Critical Reflec- tions on the Use of Lexical, Lexicographic and Digital Literacy in Virtual Environments in Academic Writing in GfL",LEARNER'S DICTIONARIES; VOCABULARY ACQUISITION; ACADEMIC WRITING; MULTILITERACIES; ONLINE-LEXICOGRAPHY; LANGUAGE TECHNOLOGIES; GERMAN AS FOREIGN LANGUAGE; CORPUSLINGUISTICS; WRITING ASSISTANT; ARTIFI-CIAL INTELLIGENCE,DICTIONARIES,"The paper deals with vocabulary acquisi-tion in the academic writing process in advanced GfL in interaction with the development of appropriate language awareness and wide-ranging up-to-date digital literacy. The starting point is the observation that in the academic L2 writing process the extensive information potential of monolingual, bilingual and multilingual lexicographic and lexico-grammatical online resources as well as other language technology tools is not adequately known. Accordingly, the many digital language resources are not optimally used for methods of teaching vocabulary and acting with it, e.g. in academic writing. On the other hand, digital media occupy more and more space in our everyday life and also provide highly developed tools based on linguistic technology for various L2 competence areas, such as translation. The aim of this paper is therefore both to show ways of making sensible use of existing internet resources and to outline entirely new ways based on artificial intelligence. Selected resources will be used as examples to demonstrate the extensive information potential and to discuss possibilities for use in academic writing. An outlook points to the necessity of adapting to revolutionary technological changes in the field of foreign language didactics.",2023
125,Integrating translanguaging into assessment: students' responses and perceptions,assessment; digital multimodal composition; messy creativity; second language writing; translanguaging,FOREIGN-LANGUAGE; ENGLISH; MOTIVATION; LEARN,"This paper explores how beginners in a second language (L2) perform on and perceive an online writing test that is designed based on the notion of translanguaging. The test was administered during emergency remote teaching when many L2 courses navigated creative solutions to online testing. Situated in an ab initio Mandarin Chinese course in New Zealand, 163 students' first-time digital compositions in Chinese and responses to an immediate follow-up survey on their translanguaging practices were analysed as part of evaluating a new assessment design. Students' digital compositions demonstrated purposeful translanguaging in assessment conditions, judiciously negotiating their existing linguistic knowledge when completing the task. The writing assessment showed augmented task completion when learners' trans-semiotic repertoires were recognised as a legitimate resource for identity expression. The survey found that most students supported the creative design that integrated digital multimodal composition and translanguaging, replacing the monolingually-focused handwriting-based test tasks. Some students were sceptical of the translanguaging approach and found it unexpected, unnecessary, and inauthentic. The study suggests that L2 writing test design might incorporate translanguaging as a creative and transformative assessment facet to genuinely engage beginning learners in meaningful writing tasks when their proficiency level is limited.",2023
126,Game-based instruction of pragmatics: Learning request-making through perlocutionary effects,Digital Game; Pragmatics; Speech Acts; Implicit Feedback,DIGITAL GAME; L2; FEEDBACK; ENGLISH,"Using the single-group pre-posttest design, this exploratory study examined whether L2 learners of English can learn a speech act by experiencing perlocutionary effects of the act as feedback (observing their interlocutor's reactions to their choice of speech act expressions). Sixty undergraduate English learners at a university in China played a digital game, developed at the researcher's institution, involving 10 hypothetical request-making interactions that took place on a university campus. For each interaction, participants read a brief scenario description and watched a video that depicts that scenario. After watching the video, they were presented with four options of request-making expressions and asked to select the most desirable expression directed to the speaker in each video. Each option was linked to specific reactions depicted by speakers in the videos (perlocutionary effects). After choosing a response, participants were shown a reaction video designed to give feedback on the appropriateness of their selected response. Recognition and production tests were used for pre, post, and delayed posttests to assess participants' knowledge of targeted request-making forms. Results revealed a significant gain from the pre to immediate posttest in both modalities, but the gain was not retained at delayed posttest. The effect from game-based instruction appeared larger in the production (Cohen's d = 0.83) than in the recognition test (d = 0.45). Participants' game performance significantly correlated with their test scores. Language(s) Learned in This Study: English APA Citation: Taguchi, N. (2023). Game-based instruction of pragmatics: Learning request-making",2023
127,CAN I SAY SOMETHING? THE EFFECTS OF DIGITAL GAME PLAY ON WILLINGNESS TO COMMUNICATE,Computer-Assisted Language Learning; Language Play; Second Language Acquisition,FOREIGN-LANGUAGE; EFL CLASSROOM; 2ND-LANGUAGE; ATTITUDES; JAPANESE; ENGLISH; MODEL; L2,"This paper reports on a study into the effects of digital game play on learners' Willingness to Communicate (WTC), or individuals' readiness to enter into discourse at a particular time with a specific person or persons, using a L2 (MacIntyre, Dornyei, Clement, & Noels, 1998, p. 547). Thirty Thai learners of English as a foreign language enrolled in a University language course completed six 90-minute lessons playing Ragnarok Online, a popular online role-playing game. The game had been installed on a private server and was thus only available to participants in the study. We modified the game to include special instructions, or quests (missions that players are assigned to accomplish in order to get items and progress throughout the game), designed to encourage collaboration and communication. To gauge participants' WTC, a series of questionnaires was designed, adapted from MacIntyre et al's (2001) WTC scale and previous studies on language and communication anxiety (Horwitz, Horwitz, & Cope, 1986; McCroskey & Richmond, 1982) and perceived competence (Compton, 2004; MacIntyre & Charos, 1996). These asked respondents about their (own perceptions of their) willingness to use English, as well as their confidence, anxiety, and perceived communicative competence in communicating in English. The questionnaires were administered at the start of the course, and again after six gaming sessions. Results on the first set of questionnaires showed that students had low confidence, high anxiety, low perceived competence, and low WTC. The second set of results showed a marked and significant improvement, with participants feeling more confident, less anxious, more competent, and more willing to communicate. We argue that the careful construction of tasks that draw on the affordances of games can have a positive effect on the language learning process.",2014
128,Facilitating EFL learners' willingness to communicate amidst the pandemic: a digital storytelling-based online flipped learning approach,Digital storytelling; willingness to communicate; flipped learning; English as a foreign language (EFL); COVID-19,ORAL PROFICIENCY; CLASSROOM; ENGLISH; PERFORMANCE; MOTIVATION; SUPPORT; L2; CREATION; SELF,"PurposeThis mixed-methods study proposed a digital-storytelling-based (DST-based) online flipped learning approach during the pandemic, and investigated its impact on EFL learners' willingness to communicate (WTC) and their perceptions of the approach.Design/methodology/approachA 16-week quasi-experiment was carried out in a college English course at a comprehensive university in Chinese mainland. A total of 69 EFL learners were recruited from two intact classes and assigned to either an experimental (the DST-based online flipped learning approach) or comparison (the online flipped learning approach) group, in order to explore the effects of the DST-based online flipped learning approach on learners' WTC. The quantitative data were obtained from the learners' WTC questionnaire. Then, semi-structured interviews were conducted in order to gauge the students' perceptions of the different learning approaches.FindingsThe quantitative results demonstrated that the experimental group outperformed the comparison group in terms of WTC at the end of the experiment. Thematic analysis of the qualitative data also lent support to the contribution of this DST-based online flipped learning approach in terms of boosting their English speaking confidence and encouraging more meaningful interaction and collaboration with others.Originality/valueFindings from this study offer insights into integrating the DST-based online flipped learning approach as an instructional implementation of technology-enhanced task-based language learning (TETBLT) in COVID/ post-COVID times. Pedagogical suggestions for EFL instructors and researchers are also provided, which would be significant for improving EFL learners' communication skills and would enable them to become more capable and globalized citizens in the twenty-first century.",2023
129,In-school and out-of-school multimodal writing as an L2 writing resource for beginner learners of Dutch,Multimodal composition; Language learning out-of-school; Settings; Task-based language learning; Writing development of beginners; Language learners,DIGITAL LITERACIES; MOTIVATION; STUDENTS; ENGLISH; VIDEO; ADOLESCENTS; TECHNOLOGY; PEDAGOGY; ACCESS; CAF,"This study investigates the effects of a collaborative multimodal writing intervention in different settings on the development of writing skills of beginner learners of Dutch as a second language. The study extends previous research by using multiple measures to assess writing development and by comparing the impact of different settings, i.e., a task-based in-school intervention and an out-of-school leisure intervention. All participants in both interventions (N = 52) completed two writing tasks before and after the intervention (in a pretestposttest design). Participants in a nonintervention group (N = 32)did the same before and after a two-week holiday in which they did not receive writing instruction. Participants' output was assessed by analytic CAF-measures as well as for communicative effectiveness. Multilevel analyses revealed significantly greater growth for both intervention groups compared to the non-intervention group. The in-school group showed growth for six measures (complexity and text length on one task and communicative effectiveness, content, lexical diversity and text length on the other). Also the out-of-school group revealed greater gains for six measures (complexity on one task and content, two measures of syntactic complexity, lexical diversity and text length on the other). In all, this study shows that multimodal composition can promote writing of beginner L2 learners, regardless of the exact context in which the writing takes place. Furthermore, the study shows the importance of using multiple measures and multiple tasks to evaluate writing development.",2017
130,Motivational profiles of Chinese university students majoring in Spanish: a comparative study,Second language motivation research; languages other than English; L2 motivational self-system; self-discrepancy model for language learners; Q methodology,FOREIGN-LANGUAGE; LEARNING LANGUAGES; SELF-DISCREPANCY; GLOBAL ENGLISH; L2 MOTIVATION; VARIABLES; LEARNERS; JAPANESE; SELVES,"Motivation to learn languages other than English (LOTEs) has been underrepresented in second language (L2) motivation research. This study investigated and compared the motivational profiles of first-year and second-year students majoring in Spanish, grounded on the proposition of bifurcating ideal and ought selves into Own and Other standpoints, and the importance of learning experience. The data were first collected using Q methodology from 27 freshmen and 20 sophomores at a university in China, followed by interviews with 10 students. The findings showed three motivational profiles in the first-year group (self-imposed with instrumental goals, self-motivated with intrinsic interests, other-informed and malleable to context) and two in the second-year group (self-motivated with embryonic ideal self-images, ought-self oriented with unsatisfactory classroom experience). These different motivational profiles were found to be associated with two main factors: classroom experience and exposure to Spanish use in digital contexts. The current findings underscored the importance of role modelling and positive classroom learning experience for beginning learners in LOTE degree programmes, and the promising potential of exposing learners to LOTE use in digital contexts.",2022
131,Tracking the Real-Time Evolution of a Writing Event: Second Language Writers at Different Proficiency Levels,English; second language; writing processes; multimodal data; temporal dimension; digital screen capture; eye tracking,EYE-TRACKING; ESL STUDENTS; LANGUAGE; INPUTLOG; BEHAVIOR; L1,"The current study focused on emergent processes during real-time second language (L2) writing activity in an English as a foreign language university context, examining differences in these processes across individual capacities. Participants included 22 adult Japanese learners of L2 English and their tutor. The data were collected using digital screen capture and eye-tracking technologies while the learners wrote a 35-minute argumentative essay. Supplementary stimulated retrospective recalls were also conducted to document the learners' and the tutor's reflections on the writing event. Results revealed clear differences in L2 writing activity at different periods in time as well as differences in cognitive activity that appear to be mediated by L2 proficiency. Importantly, the obtained patterns differed depending on whether duration or frequency data were considered. These findings thus demonstrate the need to broaden the study of the temporal dimension of L2 writing and to consider more nuanced mixed-methods approaches in future work.",2018
132,The effects of concordance-based electronic glosses on L2 vocabulary learning,Corpus; Literacy; Multimodal Texts; Reading; Vocabulary,READING-COMPREHENSION; LANGUAGE,"The present study investigates the effects of two different vocabulary learning conditions in digital reading environments equipped with electronic textual glossing. The first condition presents the concordance lines of a target lexical item, thereby making learners infer its meaning by reading the referenced sentences. The second condition additionally offers the definition of a target lexical item after learners consult the concordance lines, thus enabling learners to confirm their meaning inference. A total of 138 English as a Foreign Language students completed a meaning-recall vocabulary pre-test, and three different reading tasks, which were followed by meaning-recall vocabulary post-tests in a repeated measures design with a control condition. Overall, the findings showed that the second condition resulted in higher vocabulary gains than both the first condition and the control condition. Yet, a closer look at the interactions of (a) the participants' clicking behaviors, (b) the difficulty of selected concordance lines, (c) the surrounding contexts around target lexical items, and (d) the participants' prior knowledge of the target lexical items showed that each target lexical item may require different treatments for it to be recalled most efficiently and effectively. Through this investigation, the present study suggests that glossary information, such as concordance lines, may involve more complex and unexpected learner interactions.",2017
133,The Influence of Game-Enhanced Communication on EFL Learners' Pragmatic Competence in Compliment Responses,,DIGITAL GAME; L2; CHINESE; ENGLISH; PRONUNCIATION; PLAY,"A small number of studies have explored the effects of digital gaming on second/foreign language (L2) pragmatic competence. However, the effectiveness of massively multiplayer online role-playing games (MMORPGs) germane to L2 pragmatic development remains unclear because most game-mediated pragmatics studies have focused on educational games. Adopting the interactionist approach, this pretest-immediate-posttest-delayed-posttest study investigated the influence of an MMORPG on L2 learners' pragmatic competence in compliment responses. Specifically, 105 English-as-a-foreign-language learners from a university in China interacted with L1-English-speaking players in World of Warcraft for four weeks. Unlike most studies that have conducted discourse completion tasks for data collection, compliment responses were gathered through computer-mediated communication with L1-English-speaking interlocutors on WeChat. Results showed that the learners tended to deny compliments on the pretest, whereas they preferred to accept praise on the immediate and delayed posttests. Implications for language policy-making and teaching are discussed regarding the usefulness of MMORPGs for learners who are not immersed in the environment of the target language or have few opportunities to go abroad to experience various social contexts in an L2.",2023
134,"Unifying the current self, ideal self, attributions, self-authenticity, and intended effort: A partial replication study among Chinese university English learners",Adult learner; English as a foreign language (EFL); Identity; Motivation; Research methodology; Applied linguistics,LEARNING-MOTIVATION; EFL LEARNERS; L2 SELF; LANGUAGE; 2ND-LANGUAGE; BELIEFS; ORIENTATIONS; ACHIEVEMENT; FOREIGN; VISION,"There have been increasing calls within the field for greater replication. The current study extends prior work by unifying motivational selves, attributions of learning, and perceptions of suppressed self-authenticity, a topic not previously explored in China. Using confirmatory factor analysis and structural equation modeling (SEM), we examined English learner motivational selves, self-authenticity, and attributions. Young adult learners in rural China (n = 371) completed surveys addressing motivational selves, attributions, self-authenticity (general and in digital environments), L2 English effort, and daily language use. Results replicated those of Henry and Cliffordson (2017) for initial hypotheses related to motivational selves; current and ideal selves were statistically significant predictors of effort, in line with prior studies in the Chinese context. However, results among this sample supported discrete constructs for ideal L2 and current L2 self and provide evidence of a separable sub-component of self-authenticity, digital self-authenticity. In addition, we extend Henry and Cliffordson (2017) by exploring alternative pathways to L2 effort including a unified comprehensive SEM that included ideal L2 self, current L2 self, learning locus, attributions, suppressed self-authenticity. Finally, we discuss implications for specifically addressing digital environments in language learning research. (C) 2020 Elsevier Ltd. All rights reserved. Superscript/Subscript Available",2020
135,Investigating Distribution of Practice Effects for the Learning of Foreign Language Verb Morphology in the Young Learner Classroom,distribution of practice; foreign language learning; game-based learning; grammar; lag effects; language analytic ability; young learners,FORM-FOCUSED INSTRUCTION; PROCESSING INSTRUCTION; INDIVIDUAL-DIFFERENCES; EXPLICIT INSTRUCTION; GRAMMAR ACQUISITION; L2; APTITUDE; VOCABULARY; REPLICATION; RETENTION,"Within limited-input language classrooms, understanding the effect of distribution of practice (spacing between practice) on learning is critical, yet evidence is conflicting and of limited relevance for young learners. For second language (L2) grammar learning, some studies reveal advantages for spacing of 7 days or more, but others for shorter spacing. Further, little is known about the role of cognitive individual differences (e.g., language analytic ability; LAA) in mediating practice distribution effects for L2 grammatical knowledge development and retention. To address this gap, this classroom-based study investigated whether distribution of practice and LAA moderated the effectiveness of explicit, input-based grammar instruction for young first language (L1) English learners of French (aged 8 to 11). The study revealed minimal differences between longer (7-day) versus shorter (3.5-day) spacing of practice for learning a French verb inflection subsystem, at either posttest or delayed posttest. Minimal group-level gains and substantial within-group variation in performance at posttests were observed. Accuracy of practice during training and LAA were significantly associated with posttest performance under both practice schedules. These findings indicated that within an ecologically valid classroom context, differences in distribution of practice had limited impact on learner performance on our tests; rather, individual learner differences were more critical in moderating learning. This highlights the importance of considering individual learner differences in the development of resources and the potential of digital tools for dynamically adapting instruction to suit individuals.",2019
