Year,Category,QN,Passage
2021,Context,Q23,"Difficulties arise when we do not think of people and
machines as collaborative systems, but assign whatever tasks
can be automated to the machines and leave the rest to people.
This ends up requiring people to behave in machine-like
fashion, in ways that differ from human capabilities. We
expect people to monitor machines, which means keeping alert
for long periods, something we are bad at. We require people
to do repeated operations with the extreme precision and
accuracy required by machines, again something we are not
good at. When we divide up the machine and human
components of a task in this way, we fail to take advantage of
human strengths and capabilities but instead rely upon areas
where we are genetically, biologically unsuited. Yet, when
people fail, they are blamed."
2020,Context,Q23,"We argue that the ethical principles of justice provide an
essential foundation for policies to protect unborn generations
and the poorest countries from climate change. Related issues
arise in connection with current and persistently inadequate aid
for these nations, in the face of growing threats to agriculture and
water supply, and the rules of international trade that mainly
benefit rich countries. Increasing aid for the world_s poorest
peoples can be an essential part of effective mitigation. With 20
percent of carbon emissions from (mostly tropical) deforestation,
carbon credits for forest preservation would combine aid to
poorer countries with one of the most cost-effective forms of
abatement. Perhaps the most cost-effective but politically
complicated policy reform would be the removal of several
hundred billions of dollars of direct annual subsidies from the
two biggest recipients in the OECD destructive industrial
agriculture and fossil fuels. Even a small amount of this money
would accelerate the already rapid rate of technical progress and
investment in renewable energy in many areas, as well as
encourage the essential switch to conservation agriculture."
2019,Context,Q23,"We argue that the ethical principles of justice provide an
essential foundation for policies to protect unborn generations
and the poorest countries from climate change. Related issues
arise in connection with current and persistently inadequate aid
for these nations, in the face of growing threats to agriculture and
water supply, and the rules of international trade that mainly
benefit rich countries. Increasing aid for the world_s poorest
peoples can be an essential part of effective mitigation. With 20
percent of carbon emissions from (mostly tropical) deforestation,
carbon credits for forest preservation would combine aid to
poorer countries with one of the most cost-effective forms of
abatement. Perhaps the most cost-effective but politically
complicated policy reform would be the removal of several
hundred billions of dollars of direct annual subsidies from the
two biggest recipients in the OECD destructive industrial
agriculture and fossil fuels. Even a small amount of this money
would accelerate the already rapid rate of technical progress and
investment in renewable energy in many areas, as well as
encourage the essential switch to conservation agriculture."
2018,Context,Q23,"Sensory-specific satiety is defined as a decrease in appetite,
or the subjective liking for the food that is consumed, with
little change in the hedonics of uneaten food. As a result of
sensory-specific satiety, when people consume a variety of
foods, they tend to overeat. A greater variety of food leads
people to eat more than they would otherwise. So, being full
and feeling sated are separate matters. The recovery of
appetite or the motivation to eat is apparent to anyone who
has consumed a large meal and is quite full, and does not
require additional energy or nutrients to meet their daily
needs, but decides to consume additional calories after seeing
the dessert cart. Small changes in the sensory properties of
foods are sufficient to increase food intake. For example,
subjects who were presented with different shapes of pasta
showed increased hedonic ratings and increased energy
consumption relative to subjects eating only a single shape of
pasta."
2017,Context,Q23,"As a system for transmitting specific factual information
without any distortion or ambiguity, the sign system of
honey-bees would probably win easily over human language
every time. However, language offers something more
valuable than mere information exchange. Because the
meanings of words are not invariable and because
understanding always involves interpretation, the act of
communicating is always a joint, creative effort. Words can
carry meanings beyond those consciously intended by
speakers or writers because listeners or readers bring their own
perspectives to the language they encounter. Ideas expressed
imprecisely may be more intellectually stimulating for
listeners or readers than simple facts. The fact that language is
not always reliable for causing precise meanings to be generated
in someone else_s mind is a reflection of its powerful strength
as a medium for creating new understanding. It is the inherent
ambiguity and adaptability of language as a meaning-making
system that makes the relationship between language and
thinking so special."
2016,Context,Q23,"Twin sirens hide in the sea of history, tempting those
seeking to understand and appreciate the past onto the reefs of
misunderstanding and misinterpretation. These twin dangers
are temporocentrism and ethnocentrism. Temporocentrism is
the belief that your times are the best of all possible times. All
other times are thus inferior. Ethnocentrism is the belief that
your culture is the best of all possible cultures. All other
cultures are thus inferior. Temporocentrism and ethnocentrism
unite to cause individuals and cultures to judge all other
individuals and cultures by the superior standards of their
current culture. This leads to a total lack of perspective when
dealing with past and / or foreign cultures and a resultant
misunderstanding and misappreciation of them. Temporocentrism
and ethnocentrism tempt moderns into unjustified criticisms
of the peoples of the past."
2015,Context,Q23,"At some time in their lives, most people pause to reflect on
their own moral principles and on the practical implications of
those principles, and they sometimes think about what
principles people should have or which moral standards can
be best justified. When a person accepts a moral principle,
naturally the person believes the principle is important and
well justified. But there is more to moral principles than that.
When a principle is part of a person_s moral code, that person
is strongly motivated toward the conduct required by the
principle, and against behavior that conflicts with that
principle. The person will tend to feel guilty when his or her
own conduct violates that principle and to disapprove of
others whose behavior conflicts with it. Likewise, the person
will tend to hold in esteem those whose conduct shows an
abundance of the motivation required by the principle."
2022,Context,Q22,"Environmental hazards include biological, physical, and
chemical ones, along with the human behaviors that promote
or allow exposure. Some environmental contaminants are
difficult to avoid (the breathing of polluted air, the drinking of
chemically contaminated public drinking water, noise in open
public spaces); in these circumstances, exposure is largely
involuntary. Reduction or elimination of these factors may require
societal action, such as public awareness and public health
measures. In many countries, the fact that some environmental
hazards are difficult to avoid at the individual level is felt to be
more morally egregious than those hazards that can be avoided.
Having no choice but to drink water contaminated with very
high levels of arsenic, or being forced to passively breathe in
tobacco smoke in restaurants, outrages people more than the
personal choice of whether an individual smokes tobacco.
These factors are important when one considers how change
(risk reduction) happens."
2021,Context,Q22,"Prior to file-sharing services, music albums landed exclusively
in the hands of music critics before their release. These critics
would listen to them well before the general public could and
preview them for the rest of the world in their reviews. Once
the internet made music easily accessible and allowed even
advanced releases to spread through online social networks,
availability of new music became democratized, which meant
critics no longer had unique access. That is, critics and
laypeople alike could obtain new music simultaneously. Social
media services also enabled people to publicize their views on
new songs, list their new favorite bands in their social media
bios, and argue over new music endlessly on message boards.
The result was that critics now could access the opinions of the
masses on a particular album before writing their reviews.
Thus, instead of music reviews guiding popular opinion toward
art (as they did in preinternet times), music reviews began to
reflect consciously or subconsciously public opinion."
2020,Context,Q22,"With the industrial society evolving into an information-based
society, the concept of information as a product, a commodity
with its own value, has emerged. As a consequence, those people,
organizations, and countries that possess the highest-quality
information are likely to prosper economically, socially, and
politically. Investigations into the economics of information
encompass a variety of categories including the costs of
information and information services; the effects of information
on decision making; the savings from effective information
acquisition; the effects of information on productivity; and the
effects of specific agencies (such as corporate, technical, or
medical libraries) on the productivity of organizations. Obviously
many of these areas overlap, but it is clear that information has
taken on a life of its own outside the medium in which it is
contained. Information has become a recognized entity to be
measured, evaluated, and priced."
2019,Context,Q22,"With the industrial society evolving into an information-based
society, the concept of information as a product, a commodity
with its own value, has emerged. As a consequence, those people,
organizations, and countries that possess the highest-quality
information are likely to prosper economically, socially, and
politically. Investigations into the economics of information
encompass a variety of categories including the costs of
information and information services; the effects of information
on decision making; the savings from effective information
acquisition; the effects of information on productivity; and the
effects of specific agencies (such as corporate, technical, or
medical libraries) on the productivity of organizations. Obviously
many of these areas overlap, but it is clear that information has
taken on a life of its own outside the medium in which it is
contained. Information has become a recognized entity to be
measured, evaluated, and priced."
2018,Context,Q22,"One exercise in teamwork I do at a company retreat is to
put the group in a circle. At one particular retreat, there were
eight people in the circle, and I slowly handed tennis balls to
one person to start throwing around the circle. If N equals the
number of people in the circle, then the maximum number of
balls you can have in motion is N minus 1. Why? Because it is
almost impossible to throw and catch at the same time. The
purpose of the exercise is to demonstrate the importance of an
individual_s action. People are much more concerned about
catching the ball than throwing it. What this demonstrates is
that it is equally important to the success of the exercise that
the person you are throwing to catches the ball as that you are
able to catch the ball. If you are less concerned about how you
deliver information than with how you receive it, you will
ultimately fail at delegation. You have to be equally skilled at
both."
2017,Context,Q22,"The precision of the lines on the map, the consistency with
which symbols are used, the grid and/or projection system, the
apparent certainty with which place names are written and
placed, and the legend and scale information all give the map
an aura of scientific accuracy and objectivity. Although
subjective interpretation goes into the construction of these
cartographic elements, the finished map appears to express an
authoritative truth about the world, separate from any interests
and influences. The very trust that this apparent objectivity
inspires is what makes maps such powerful carriers of ideology.
However unnoticeably, maps do indeed reflect the world views
of either their makers or, more probably, the supporters of their
makers, in addition to the political and social conditions under
which they were made. Some of the simple ideological
messages that maps can convey include: This land is and has
long been ours; here is the center of the universe; if we do not
claim this land, the enemies you most fear will."
2016,Context,Q22,"The negative effects of extrinsic motivators such as grades
have been documented with students from different cultures.
Although this matter is more complex than simply regarding
all extrinsic rewards as controlling or diminishing learning,
we agree with Richard Ryan and his colleagues that people
across different cultures are likely to express more satisfaction
with their lives when their primary goals are intrinsic rather
than extrinsic. Another consistent research finding is that
when a learning activity is undertaken explicitly to attain
some extrinsic reward, people respond by seeking the least
demanding way of ensuring the reward. Since there are three
decades of evidence that dominating instruction with a system
of controlling external rewards may contribute to inferior
learning, using a pedagogy based on theories of intrinsic
motivation appears to be a more reasonable and effective
approach to enhancing learning among culturally diverse
students."
2015,Context,Q22,"The most normal and competent child encounters what
seem like insurmountable problems in living. But by playing
them out, he may become able to cope with them in a
step-by-step process. He often does so in symbolic ways that
are hard for even him to understand, as he is reacting to inner
processes whose origin may be buried deep in his
unconscious. This may result in play that makes little sense to
us at the moment, since we do not know the purposes it
serves. When there is no immediate danger, it is usually best
to approve of the child_s play without interfering. Efforts to
assist him in his struggles, while well intentioned, may divert
him from seeking and eventually finding the solution that will
serve him best."
2022,Context,Q20,"when they first consider experimenting with social media is
that they focus too much on social media tools and platforms
and not enough on their business objectives. The reality of
success in the social web for businesses is that creating a social
media program begins not with insight into the latest social
media tools and channels but with a thorough understanding of
the organization_s own goals and objectives. A social media
program is not merely the fulfillment of a vague need to manage
a presence on popular social networks because everyone
else is doing it. Being in social media serves no purpose
in and of itself. In order to serve any purpose at all, a social
media presence must either solve a problem for the organization
and its customers or result in an improvement of some sort
(preferably a measurable one). In all things, purpose drives
success. The world of social media is no different."
2021,Context,Q20,"Developing expertise carries costs of its own. We can
become experts in some areas, like speaking a language or
knowing our favorite foods, simply by living our lives, but in
many other domains expertise requires considerable training
and effort. What is more, expertise is domain specific. The
expertise that we work hard to acquire in one domain will
carry over only imperfectly to related ones, and not at all to
unrelated ones. In the end, as much as we may want to become
experts on everything in our lives, there simply is not enough
time to do so. Even in areas where we could, it will  not
necessarily be worth the effort. It is clear that we should
concentrate our own expertise on those domains of choice that
are most common and/or important to our lives,"
2020,Context,Q20,"War is inconceivable without some image, or concept, of the
enemy. It is the presence of the enemy that gives meaning and
justification to war. War follows from feelings of hatred,
wrote Carl Schmitt. War has its own strategic, tactical, and other
rules and points of view, but they all presuppose that the political
decision has already been made as to who the enemy is. The
concept of the enemy is fundamental to the moral assessment
of war: The basic aim of a nation at war in establishing an
image of the enemy is to distinguish as sharply as possible the
act of killing from the act of murder. However, we need to be
cautious about thinking of war and the image of the enemy
that informs it in an abstract and uniform way. Rather, both
must be seen for the cultural and contingent phenomena that
they are."
2019,Context,Q20,"War is inconceivable without some image, or concept, of the
enemy. It is the presence of the enemy that gives meaning and
justification to war. War follows from feelings of hatred,
wrote Carl Schmitt. War has its own strategic, tactical, and other
rules and points of view, but they all presuppose that the political
decision has already been made as to who the enemy is. The
concept of the enemy is fundamental to the moral assessment
of war: The basic aim of a nation at war in establishing an
image of the enemy is to distinguish as sharply as possible the
act of killing from the act of murder. However, we need to be
cautious about thinking of war and the image of the enemy
that informs it in an abstract and uniform way. Rather, both
must be seen for the cultural and contingent phenomena that
they are."
2018,Context,Q20,"At the 2015 Fortune Most Powerful Women Summit, Ginni
Rometty offered this advice: When did you ever learn the
most in your life? What experience? I guarantee you will tell
me it was a time you felt at risk. To become a better leader,
you have to step out of your comfort zone. You have to
challenge the conventional ways of doing things and search for
opportunities to innovate. Exercising leadership not only
requires you to challenge the organizational status quo but
also requires you to challenge your internal status quo. You
have to challenge yourself. You have to venture beyond the
boundaries of your current experience and explore new
territory. Those are the places where there are opportunities to
improve, innovate, experiment, and grow. Growth is always
at the edges, just outside the boundaries of where you are
right now."
2017,Context,Q20,"Many present efforts to guard and maintain human
progress, to meet human needs, and to realize human
ambitions are simply unsustainable in both the rich and
poor nations. They draw too heavily, too quickly, on already
overdrawn environmental resource accounts to be affordable
far into the future without bankrupting those accounts. They
may show profit on the balance sheets of our generation, but
our children will inherit the losses. We borrow environmental
capital from future generations with no intention or prospect
of repaying. They may blame us for our wasteful ways, but
they can never collect on our debt to them. We act as we do
because we can get away with it: future generations do not
vote; they have no political or financial power; they cannot
challenge our decisions."
2016,Context,Q20,"Assertiveness may seem to some people to be uncharacteristic
of counselors. If your picture of a counselor is someone who
never disagrees, always goes along, wants everything to be
nice all the time, and only does what other people want him or
her to do, this is not a picture of an assertive counselor. Being
assertive does not have to mean being disagreeable. Being a
counselor does not mean that you should simply be silent
when someone tells a racist joke. An assertive counselor
would find a way to call that person_s attention to the fact
that the joke is racist, explaining how it offended the hearer,
and suggesting ways similar jokes could be avoided. Being
assertive is a highly developed skill it should fit nicely in
the counselor_s repertoire of techniques."
2015,Context,Q20,"Many disciplines are better learned by entering into the
doing than by mere abstract study. This is often the case with
the most abstract as well as the seemingly more practical
disciplines. For example, within the philosophical disciplines,
logic must be learned through the use of examples and actual
problem solving. Only after some time and struggle does the
student begin to develop the insights and intuitions that enable
him to see the centrality and relevance of this mode of
thinking. This learning by doing is essential in many of the
sciences. For instance, only after a good deal of observation do
the sparks in the bubble chamber become recognizable as the
specific movements of identifiable particles."
2022,Context,Q19,"It was Evelyn_s first time to explore the Badlands of
Alberta, famous across Canada for its numerous dinosaur
fossils. As a young amateur bone-hunter, she was overflowing
with anticipation. She had not travelled this far for the bones
of common dinosaur species. Her life-long dream to find rare
fossils of dinosaurs was about to come true. She began eagerly
searching for them. After many hours of wandering throughout
the deserted lands, however, she was unsuccessful. Now, the
sun was beginning to set, and her goal was still far beyond her
reach. Looking at the slowly darkening ground before her, she
sighed to herself, I cannot believe I came all this way for
nothing. What a waste of time!"
2021,Context,Q19,"Once again, I had lost the piano contest to my friend. When
I learned that Linda had won, I was deeply troubled and
unhappy. My body was shaking with uneasiness. My heart
beat quickly and my face became reddish. I had to run out of
the concert hall to settle down. Sitting on the stairs alone, I
recalled what my teacher had said. Life is about winning, not
necessarily about winning against others but winning at being
you. And the way to win is to figure out who you are and do
your best. He was absolutely right. I had no reason to oppose
my friend. Instead, I should focus on myself and my own
improvement. I breathed out slowly. My hands were steady
now. At last, my mind was at peace."
2020,Context,Q19,"could not stay on his board. He had tried more than ten times
to stand up but never managed it. He felt that he would never
succeed. He was about to give up when he looked at the sea
one last time. The swelling waves seemed to say, Come on,
Dave. One more try! Taking a deep breath, he picked up his
board and ran into the water. He waited for the right wave.
Finally, it came. He jumped up onto the board just like he had
practiced. And this time, standing upright, he battled the wave
all the way back to shore. Walking out of the water joyfully, he
cheered, Wow, I did it!"
2019,Context,Q19,"The waves were perfect for surfing. Dave, however, just
could not stay on his board. He had tried more than ten times
to stand up but never managed it. He felt that he would never
succeed. He was about to give up when he looked at the sea
one last time. The swelling waves seemed to say, Come on,
Dave. One more try! Taking a deep breath, he picked up his
board and ran into the water. He waited for the right wave.
Finally, it came. He jumped up onto the board just like he had
practiced. And this time, standing upright, he battled the wave
all the way back to shore. Walking out of the water joyfully, he
cheered, Wow, I did it!"
2018,Context,Q19,"The start of the boat tour was far from what I had expected.
None of the wildlife I saw was exotic. I could only see dull
gray rocks. It was also so hot and humid that I could not
enjoy the tour fully. However, as the boat slid into the Bay
Park Canal, all of a sudden my mother shouted, Look at the
mangroves! A whole new world came into sight. The
mangrove forest alongside the canal thrilled me as we entered
its cool shade. I was fascinated by the beautiful leaves and
flowers of the mangroves. But best of all, I was charmed by
the native birds, monkeys, and lizards moving among the
branches. What a wonderful adventure! I exclaimed."
2017,Context,Q19,"All smiling, Breaden, a cute three-year-old boy, was walking
along the aisle of snacks, bars, and sweets. It was the aisle of
all kinds of temptation for him. Wow! he exclaimed. Right in
front of his eyes were rows of delicious-looking chocolate bars
waiting to be touched. His mom was holding his hand.
Breaden, her only child, had always been the focus of her
attention and she was cautious not to lose him in the market.
Suddenly, she stopped to say hello to her friends. Breaden
stopped, too. With his eyes wide open and his mouth watering,
Breaden stretched out his arm and was about to grab a bar
when he felt a tight grip on his hand. He looked up. Breaden,
not today! He knew what that meant. Okay, Mommy, he
sighed. His shoulders fell."
2016,Context,Q19,"I am leaving early tomorrow morning, finally! I have always
wanted to explore the Amazon, the unknown and mysterious
world. At this hour, the great Emerald Amazon Explorer should
be at the port waiting for me to get on board. Freshwater dolphins
will escort me on the playful river, and 500 species of birds, half
a dozen species of monkeys, and numerous colorful butterflies
will welcome me into their kingdom. I wish I could camp in the
wild and enjoy the company of mosquitos, snakes, and spiders.
I would love to make the world_s largest rainforest home. My heart
swells as much as my chubby bags; yet, I would better get some sleep
since a long, tough journey is ahead of me."
2015,Context,Q19,"As I walked to the train station, I felt the warm sun on my
back. I caught my train on time. It arrived at my destination ten
minutes early, which was perfect, as I was due to present my
new idea to the company at 10 a.m. The presentation went better
than expected, and my manager seemed particularly pleased.
Later that day, my manager called me into her office. She smiled
at me and said, James, you have been with us for six years now.
How would you feel if I were to offer you the Sales Director
position in London? Sales Director in London! Wow! This was
a dream come true for me. I could not believe what I had just heard!"
2022,Context,Q18,"Dear Ms. Green,
My name is Donna Williams, a science teacher at Rogan
High School. I am planning a special workshop for our science
teachers. We are interested in learning how to teach online
science classes. I have been impressed with your ideas about
using internet platforms for science classes. Since you are an
expert in online education, I would like to ask you to deliver
a special lecture at the workshop scheduled for next month.
I am sure the lecture will help our teachers manage successful
online science classes, and I hope we can learn from your
insights. I am looking forward to hearing from you.
Sincerely,
Donna Williams"
2021,Context,Q18,"Dear Friends,
Season_s greetings. As some of you already know, we are
starting the campus food drive. This is how you participate.
You can bring your items for donation to our booths. Our
donation booths are located in the lobbies of the campus
libraries. Just drop off the items there during usual library
hours from December 4 to 23. The donated food should be
non-perishable like canned meats and canned fruits. Packaged
goods such as jam and peanut butter are also good. We will
distribute the food to our neighbors on Christmas Eve. We
truly appreciate your help.
Many blessings,
Joanna at Campus Food Bank"
2020,Context,Q18,"Dear Mr. Reese,
A few days ago, I submitted my application and recipe
for the 2nd Annual DC Metro Cooking Contest.
However, I would like to change my recipe if it is
possible. I have checked the website again, but I could
only find information about the contest date, time, and
prizes. I could not see any information about changing
recipes. I have just created a great new recipe, and I
believe people will love this more than the one I have
already submitted. Please let me know if I can change
my submitted recipe. I look forward to your response.
Best Regards,
Sophia Walker"
2019,Context,Q18,"Dear Mr. Reese,
A few days ago, I submitted my application and recipe
for the 2nd Annual DC Metro Cooking Contest.
However, I would like to change my recipe if it is
possible. I have checked the website again, but I could
only find information about the contest date, time, and
prizes. I could not see any information about changing
recipes. I have just created a great new recipe, and I
believe people will love this more than the one I have
already submitted. Please let me know if I can change
my submitted recipe. I look forward to your response.
Best Regards,
Sophia Walker"
2018,Context,Q18,"Dear Ms. Diane Edwards,
I am a teacher working at East End High School. I
have read from your notice that the East End Seaport
Museum is now offering a special program, the 2017
Bug Lighthouse Experience. The program would be a
great opportunity for our students to have fun and
experience something new. I estimate that 50 students
and teachers from our school would like to participate
in it. Would you please let me know if it is possible to
make a group reservation for the program for Saturday,
November 18? We do not want to miss this great
opportunity. I look forward to hearing from you soon.
Best regards,
Joseph Loach"
2017,Context,Q18,"Want to improve your Korean writing? Writing is an
essential tool that will help you adjust to Korean
university life. The Ha-Rang Writing Center offers a
free tutoring program open to all international students
at our university. We encourage you to take advantage
of this. The program has always been very popular
among international students. Registration opens from
November 28 for three days only. Once you are
registered, we will match you with a perfect tutor and
contact you to arrange your schedule. We are sure that
you will be satisfied with our well-experienced tutors.
Do not miss this great opportunity to improve your
Korean writing. For more information, feel free to email
Jiyung Yoon, HRWC Director, at jyoon@hrwc.org."
2016,Context,Q18,"Dear Coach Johnson,
My name is Christina Markle, Bradley Markle_s mother.
Bradley and I were thrilled to learn that you are holding
your Gymnastics Summer Camp again this year. So I
did not hesitate to sign up and pay the non-refundable
deposit for the second week program, which is from July
13 to 17. But today I remembered that our family is
going to get back from a trip on July 13, and I am afraid
Bradley will  not be able to make it on the very first day of
the program. Rather than make him skip the day, I would like
to check to see if he could switch to the third week
program. Please let us know if that is possible. Thank you.
Sincerely,
Christina Markle"
2015,Context,Q18,"One difference between winners and losers is how they handle
losing. Even for the best companies and most accomplished
professionals, long track records of success are punctuated by
slips, slides, and mini-turnarounds. Even the team that wins
the game might make mistakes and lag behind for part of it.
That is why the ability to recover quickly is so important.
Troubles are ubiquitous. Surprises can fall from the sky like
volcanic ash and appear to change everything. That is why one
prominent scholar said, Anything can look like a failure in
the middle. Thus, a key factor in high achievement is
bouncing back from the low points."
